#{"t_start": 1768207755.4770713, "env_id": "highway-v0"}
r,l,t
9.620534,11,5.2654
30.560835,40,24.308305
1.655328,3,25.732784
1.079427,2,26.69974
30.660452,40,45.888454
15.399293,19,55.069325
30.948867,34,71.105876
12.831387,14,77.752804
3.630364,5,80.11434
3.935009,5,82.470067
4.066667,5,84.850004
27.668814,40,104.021067
29.673276,40,122.935463
29.341753,40,141.815242
30.109269,37,159.393011
7.459619,9,163.737619
29.637284,40,182.812787
28.661828,40,201.935564
33.436239,40,221.106125
12.361884,15,228.210051
28.578133,40,247.222194
4.473276,6,250.114683
5.830242,7,253.44922
30.38614,40,272.58884
9.507395,11,277.796325
21.563479,30,291.958606
7.115915,9,296.270191
29.795181,40,315.412019
32.204727,40,334.398146
28.726789,40,353.528377
14.065188,16,361.226419
8.674492,10,365.949808
13.611939,15,373.172532
27.406174,40,392.073876
29.704432,40,411.134618
12.887109,15,418.280086
30.06321,40,437.114725
13.529864,15,444.247623
27.339466,40,463.133728
8.018292,9,467.423019
4.760391,6,470.244897
29.937055,40,489.239601
17.008163,19,498.21568
29.623672,40,517.184467
9.146139,11,522.391529
5.678532,8,526.231904
5.10332,7,529.573858
31.031357,40,548.565153
1.925445,3,550.019628
13.214619,16,557.675689
29.547968,40,576.599267
7.640996,10,581.347516
15.656385,19,590.397695
4.647231,6,593.258887
29.648236,40,612.364688
29.52022,38,630.532218
30.535726,40,649.498295
2.961815,4,651.397705
29.385459,40,670.382378
8.599014,10,675.122896
8.67784,10,679.95232
14.173847,18,688.510382
30.837952,40,707.592076
8.54463,11,712.871314
6.75948,9,717.151536
3.833173,5,719.545925
19.581424,22,729.896016
7.449766,9,734.195247
26.86046,40,753.221951
34.663753,40,772.095744
29.446506,40,791.255972
3.007357,4,793.154236
28.034976,40,812.141025
28.78855,40,831.111224
12.469869,14,837.842929
27.020779,36,854.878741
1.866667,3,856.310531
30.881425,40,875.309226
5.91215,8,879.122058
25.265641,34,895.203271
26.666667,40,914.312411
7.244586,9,918.628067
1.173404,2,919.587822
20.832249,22,930.064961
4.90395,6,932.912712
6.894104,10,937.679855
9.392227,11,942.96037
29.949906,40,962.025599
8.317591,11,967.247655
5.247101,6,970.083135
4.743566,6,972.939027
28.028392,40,998.786129
29.966629,40,1017.660723
11.428679,13,1023.909197
28.492165,40,1042.898673
3.955556,5,1045.268498
30.037563,40,1064.358184
29.155917,40,1083.403806
9.927829,13,1089.589923
1.723492,3,1090.999051
28.054993,40,1109.819385
27.894574,32,1124.953928
