#{"t_start": 1768207755.476043, "env_id": "highway-v0"}
r,l,t
3.97482,5,2.389392
28.862206,40,21.431476
4.654548,6,24.306923
30.06518,40,43.505982
7.822168,9,47.780198
10.238063,13,54.071904
14.81709,19,63.048024
9.73588,12,68.735738
22.666667,40,87.782483
3.753436,5,90.209102
28.937073,40,109.228274
2.934298,4,111.125557
28.704424,40,130.015397
29.777163,40,149.018499
17.051096,21,158.921694
27.660102,40,177.959524
5.857873,7,181.326803
30.592323,40,200.475549
27.770893,40,219.645537
29.468573,40,238.704581
28.501955,40,257.835201
29.311966,40,276.844063
31.250663,40,295.781072
13.62324,16,303.420246
5.065,6,306.365575
4.144865,5,308.795078
28.567118,40,327.633986
1.836858,3,329.0944
2.688063,4,331.038526
8.634295,10,335.847776
28.632054,40,354.915962
3.017715,4,356.831546
20.184361,23,367.934903
32.095455,40,386.937811
8.377737,10,391.594345
21.436302,24,403.011139
26.763066,40,422.074685
2.339569,4,423.970353
5.126445,7,427.269886
8.717701,12,432.91077
11.478862,13,439.023701
7.868238,10,443.788422
28.117143,40,462.655443
28.014862,40,481.641736
6.730223,9,485.951023
10.071388,13,492.093551
32.812806,38,510.019454
3.896671,5,512.380861
28.629872,40,531.464281
16.188689,20,540.991868
11.237971,14,547.650461
3.104348,4,549.53549
30.965819,40,568.534152
17.268482,19,577.558362
29.401894,40,596.664903
28.444444,40,615.704988
19.538803,22,626.229268
28.296095,37,643.860006
15.926491,20,653.301863
7.319881,9,657.555932
28.77831,40,676.549774
23.101772,26,688.983204
12.979043,14,695.659103
29.73485,40,714.815184
29.794772,39,733.259309
20.884283,26,745.611618
3.994045,5,747.981575
29.356583,40,766.881179
15.150449,17,774.990403
4.836311,7,778.377592
2.93035,4,780.286584
27.596696,40,799.32125
7.070895,8,803.04813
30.141387,40,822.035681
8.922302,10,826.80295
14.819222,18,835.419619
1.913993,3,836.87645
30.739034,40,855.826421
5.704261,8,859.676009
3.690255,5,862.022867
11.23889,13,868.250691
17.354364,23,879.115214
29.934729,40,898.073475
4.231895,5,900.465546
6.319576,8,904.298192
18.816041,23,915.277647
26.572929,29,929.089973
10.890805,14,935.764583
7.685066,9,940.062164
6.808321,10,944.871255
4.93252,7,948.205694
2.013343,3,949.623575
1.240637,2,950.571021
32.006056,40,969.604588
27.055185,40,995.48123
30.990508,40,1014.370864
31.705391,40,1033.360891
28.610024,40,1052.451098
29.183375,40,1071.510464
19.203413,24,1082.919266
28.540031,40,1101.919134
31.997375,40,1120.690896
28.861648,40,1139.58223
7.008709,8,1143.396242
30.895129,40,1162.349439
30.863536,40,1181.355669
29.402753,40,1200.457673
30.820476,40,1219.680306
29.907452,40,1238.646218
5.339543,7,1241.921041
3.702088,5,1244.328443
31.349099,40,1263.236644
30.260635,40,1282.36939
30.904348,40,1301.351787
12.725406,18,1309.872533
29.417242,40,1329.008672
32.031734,40,1347.956269
5.755556,7,1351.269946
6.559399,9,1355.469589
8.659244,11,1360.611528
27.202488,40,1379.586994
33.599319,40,1398.501231
