#{"t_start": 1767896040.988998, "env_id": "highway-v0"}
r,l,t
4.333333,5,3.958259
11.690674,15,10.973245
9.380041,11,16.004717
15.779079,18,24.164157
14.073692,18,33.096559
29.816462,40,51.911509
27.571234,40,70.466247
7.439658,9,74.489225
5.104048,7,77.609241
12.361402,16,84.759642
9.850971,11,89.717698
10.75096,12,95.076645
6.84986,8,98.652789
16.089053,19,107.175462
5.970785,8,110.785613
5.698839,7,113.918797
8.801128,10,118.403324
4.681424,6,121.109445
31.797589,40,138.813833
25.154789,28,151.301621
27.642006,40,168.979047
30.01786,40,186.771885
9.18283,12,192.093757
10.237553,12,197.402664
2.8,4,199.174828
3.630209,5,201.428622
2.577778,4,203.208579
28.094864,40,220.964727
3.828971,5,223.194971
8.612061,10,227.893422
8.95013,13,233.840019
6.789924,9,238.010673
4.701818,6,240.743556
28.324179,40,258.713312
2.701219,4,260.489573
4.950127,7,263.631206
8.642463,11,268.480307
7.891529,10,272.900277
6.789166,8,276.497365
12.616959,17,284.10711
28.092262,36,300.225258
27.797386,40,318.010833
2.142263,3,319.359603
31.174726,40,337.178326
2.001604,3,338.514608
1.839341,3,339.850177
8.075601,10,344.276609
12.362461,14,350.820209
12.974228,16,358.188124
20.15904,24,368.727686
27.363735,40,386.487182
29.976652,40,404.146238
7.138434,9,408.132295
29.107707,40,425.931999
10.046623,12,431.286361
28.213279,40,449.067159
35.304442,40,466.868643
4.382445,6,469.546932
6.714356,8,473.142328
19.862638,40,491.100392
23.010608,40,508.919663
28.998949,40,526.77601
30.1083,40,544.540925
2.051563,3,545.895688
6.885371,8,549.473566
10.844133,13,555.251244
1.114712,2,556.172188
29.950204,40,573.923365
4.311872,6,576.582818
27.580162,40,594.41091
20.669556,23,604.686465
33.258161,40,622.392932
6.501098,8,625.934443
4.28029,5,628.172784
28.020675,40,645.938069
21.374541,40,663.650172
11.054593,13,669.470826
2.951447,4,671.242236
8.160582,10,675.671055
7.444878,9,679.693426
31.222637,40,697.451993
11.309295,14,703.754303
2.03652,3,705.093835
12.687084,17,712.656362
14.865388,19,721.175226
28.784395,40,739.024053
10.400488,14,745.218078
27.677803,40,763.109232
13.22694,15,769.819975
27.841601,40,787.618028
6.168249,8,791.187499
29.007553,40,808.897254
30.734634,40,826.741467
2.01187,3,828.109692
28.725172,40,845.8684
7.566323,9,849.897146
29.738774,40,867.68112
6.404136,9,871.695338
33.82144,40,889.554555
31.432345,40,907.2693
31.010187,40,929.241593
16.347994,20,938.108574
29.328362,40,955.944355
28.041835,40,973.775447
6.639937,8,977.321866
1.901656,3,978.697427
30.675971,40,996.51181
29.795437,40,1014.326832
29.283412,40,1032.143078
26.99985,40,1050.007698
25.714611,30,1063.371066
31.35379,40,1081.078484
31.855705,40,1098.965986
29.607713,40,1116.644451
27.817997,40,1134.437754
1.280714,2,1135.351927
31.511847,40,1153.199938
12.650819,17,1160.766079
30.161072,40,1178.412168
9.929038,11,1183.32768
2.80199,4,1185.109289
29.287013,40,1203.000613
30.45865,40,1220.834936
28.857195,40,1238.638848
28.262558,40,1256.333068
31.058294,40,1274.196009
31.904598,40,1291.961191
30.463482,40,1309.649266
29.465232,40,1327.396787
3.155556,4,1329.191381
28.165043,40,1346.999636
28.445604,40,1364.78597
4.892293,6,1367.477207
20.211485,25,1378.641552
28.177161,40,1396.451236
7.933633,10,1400.914261
14.125162,17,1408.541291
4.04441,5,1410.771682
2.517134,4,1412.536559
13.405423,17,1420.088002
3.689515,5,1422.37277
29.55813,40,1440.272093
0.938684,2,1441.182648
31.661417,40,1459.008066
2.902057,4,1460.803006
4.683632,6,1463.488949
30.004414,40,1481.06119
31.384289,40,1498.845441
1.168988,2,1499.766269
29.333333,40,1517.828117
2.72759,4,1519.637913
26.666667,40,1537.378948
8.243284,9,1541.39884
31.668888,40,1559.143359
31.353447,40,1576.851373
29.415708,40,1594.565657
14.72576,19,1602.990687
28.447509,40,1620.70072
1.288889,2,1621.626417
1.21739,2,1622.539136
29.927825,40,1640.711075
28.902196,40,1658.986456
12.056084,15,1665.851239
28.575259,40,1684.112914
10.468172,12,1689.629963
29.920204,40,1707.981126
26.879573,36,1724.389412
23.026278,29,1737.669286
30.938687,40,1755.942483
10.041503,12,1761.426274
33.218357,40,1779.600544
6.274684,8,1783.30769
28.951906,40,1801.403372
30.621163,40,1819.073007
28.165812,40,1836.834171
28.802579,40,1858.712519
29.414879,40,1876.630653
4.379817,6,1879.41838
30.262824,40,1897.656554
1.898642,3,1899.042389
27.555556,40,1917.246342
27.555556,40,1935.477185
20.951613,26,1947.286694
29.341199,40,1965.472745
2.804575,4,1967.355188
29.891669,40,1985.659524
28.533505,40,2004.009608
29.635857,40,2022.272136
3.836869,5,2024.540244
27.569776,40,2042.728621
29.729007,40,2060.991974
27.74593,40,2079.361377
13.374221,15,2086.242493
28.768822,40,2104.636513
30.271921,40,2122.936681
29.337026,40,2141.035319
28.342694,40,2159.246277
29.58137,40,2177.736655
29.590975,40,2196.621258
30.424098,40,2215.297021
27.783146,40,2235.783766
30.94704,40,2256.622555
13.866933,17,2264.710844
28.192182,40,2283.015913
26.736366,40,2301.354207
8.720581,10,2305.878205
28.469306,40,2323.975889
28.448238,40,2342.852656
29.353565,40,2361.377168
28.631752,40,2380.741719
27.712167,40,2399.608014
26.958781,40,2418.260796
28.491472,40,2436.396738
29.373201,40,2454.559594
31.726388,40,2472.774491
27.377901,40,2491.830108
5.880267,8,2495.626071
5.41767,7,2499.01534
26.685487,40,2517.600078
29.725483,40,2535.937037
30.037628,40,2555.071898
27.613019,40,2573.783056
28.648475,40,2592.182616
8.815284,11,2597.255254
11.642156,16,2604.708295
29.698272,40,2623.152666
32.628544,40,2644.995982
29.632261,40,2667.246814
30.746409,40,2688.662074
6.653187,10,2693.91391
31.502016,40,2715.742589
1.530745,3,2717.365023
30.087174,40,2738.731977
29.62463,40,2760.868153
31.371627,40,2782.348344
27.802768,40,2803.964667
29.947749,40,2832.226257
28.291171,40,2854.376082
29.146999,40,2876.233008
31.683471,40,2897.836787
26.747125,40,2919.680629
28.704396,40,2940.991459
27.35534,40,2962.49289
29.511419,40,2984.57207
6.928971,9,2989.480067
3.864367,5,2992.162454
29.421588,40,3013.80579
29.050627,40,3035.197178
26.760824,40,3056.929863
27.752197,40,3078.617252
30.805415,40,3099.796214
4.75033,6,3103.002352
29.692074,40,3124.485945
27.091843,40,3146.553706
29.639813,40,3168.390312
31.031881,40,3189.806924
29.392275,40,3211.437755
31.233366,40,3233.096307
28.416673,40,3255.071429
30.471667,40,3276.498095
30.417317,40,3297.758266
29.147669,40,3319.268194
30.267769,40,3340.687082
30.08531,40,3362.095526
10.762146,12,3368.680932
26.756913,40,3389.635695
27.943223,40,3410.825702
26.797481,40,3432.690357
31.651052,40,3454.1723
28.026692,40,3475.314639
29.672038,40,3496.668013
29.201424,40,3518.815468
29.024852,40,3540.219582
30.001844,40,3561.708874
30.341328,40,3583.195036
26.957473,40,3605.183278
3.749421,5,3607.862851
28.122219,40,3628.87715
27.763155,40,3650.208338
32.603051,40,3672.175665
30.594274,40,3693.991178
30.299895,40,3715.786979
29.029469,40,3737.173484
28.811528,40,3758.064246
33.092167,40,3779.486941
28.154766,40,3801.109838
28.144372,40,3822.305027
32.076907,40,3844.152202
29.606187,40,3865.877425
29.853128,40,3887.28882
27.706395,40,3908.210315
27.188335,40,3929.712965
26.981553,40,3957.094062
31.796074,40,3978.296772
29.336118,40,3999.399291
31.893712,40,4020.486198
29.598776,40,4041.930504
27.498767,40,4063.213313
30.605509,40,4084.193923
29.674379,40,4105.617603
31.559103,40,4127.246408
7.732027,10,4132.660403
28.262395,40,4154.1093
28.588539,40,4174.822578
29.550272,40,4195.956559
32.266024,40,4217.419938
30.525205,40,4238.96413
29.872747,40,4260.276135
28.288589,40,4281.615271
28.292747,40,4302.541632
30.447789,40,4323.645936
33.13595,40,4345.360774
30.168234,40,4366.569117
29.206405,40,4387.577953
30.681333,40,4410.573401
31.313004,40,4436.078471
30.861469,40,4459.632155
29.174909,40,4482.822985
33.362707,40,4505.125473
27.708828,40,4528.384262
29.075719,40,4549.146362
29.607315,40,4569.744581
28.838344,40,4589.183346
29.578182,40,4607.781713
27.19303,40,4626.553246
28.10971,40,4644.835956
27.049814,40,4663.215714
33.10235,40,4681.597468
29.326065,40,4699.852654
28.977559,40,4718.284388
29.022154,40,4736.669163
30.853343,40,4755.283976
27.876956,40,4773.813363
28.618629,40,4792.215995
28.742533,40,4810.582446
30.533082,40,4829.047137
20.158053,25,4840.52337
32.498698,40,4858.962409
31.703871,40,4877.874831
2.723609,4,4879.771873
28.259593,40,4898.811897
30.005092,40,4917.797947
27.187452,40,4936.153712
26.697688,40,4954.467626
29.483696,40,4972.890537
30.865585,40,4995.269548
31.064273,40,5013.70285
29.856226,40,5032.075184
31.892595,40,5050.54771
31.280284,40,5068.857942
28.971685,40,5087.359817
27.467724,40,5105.708055
29.894679,40,5124.041754
29.946101,40,5142.440893
28.112733,40,5160.997907
30.322822,40,5179.413774
29.931618,40,5197.805315
31.063286,40,5216.303331
0.933333,2,5217.193167
28.943647,40,5235.586663
30.397675,40,5254.05131
30.509234,40,5272.370747
30.322444,40,5291.014873
30.135142,40,5309.576982
30.378953,40,5327.894254
28.147389,40,5346.281331
28.485133,40,5364.608996
30.503423,40,5382.958075
31.384937,40,5401.292309
28.877942,40,5419.508571
1.863723,3,5420.924619
2.145106,3,5422.298027
29.211201,40,5440.696735
29.620034,40,5459.040335
31.383773,40,5477.357295
29.60683,40,5495.586644
27.742603,40,5513.744397
31.842871,40,5532.249443
30.712596,40,5550.54066
28.000773,40,5568.923936
27.167389,40,5587.186423
