#{"t_start": 1767896040.997722, "env_id": "highway-v0"}
r,l,t
3.207215,4,3.449819
28.9099,40,21.854361
30.292531,40,41.32541
24.491589,30,55.214652
29.359981,40,73.565653
27.555556,40,91.519575
7.419275,9,95.520454
11.79678,15,102.201943
10.50278,15,108.962668
27.237497,40,126.8291
28.440431,33,141.491349
6.191462,9,145.497513
17.604456,24,156.127967
12.288795,13,161.921623
15.816151,19,170.319196
27.36933,40,188.103853
21.11518,26,199.616839
12.100097,14,205.883223
28.908975,40,223.634354
20.735632,24,234.756207
14.204368,17,242.543186
27.211171,40,260.476673
30.49182,40,278.276464
11.548681,14,284.548021
5.156795,6,287.263701
4.066667,5,289.510771
1.831977,3,290.846054
26.691531,40,308.63626
2.083302,3,309.991108
30.060143,40,327.823349
9.801408,12,333.182262
28.534725,40,351.282034
18.803848,21,360.807817
26.030895,31,374.503544
6.78982,8,378.037242
30.112134,40,395.748803
28.960862,40,413.446489
1.2,2,414.34999
3.779546,5,416.579785
7.983432,11,421.492371
30.828418,40,439.187607
5.668246,7,442.313657
30.918668,40,460.141458
27.792101,40,478.077229
29.78899,40,496.010916
28.633811,40,513.834165
29.666977,40,531.682715
29.388333,40,549.461603
26.666667,40,567.253112
28.909645,40,584.991262
7.432608,9,589.036054
3.186887,4,590.811679
5.506915,7,593.946036
18.309681,21,603.322423
31.128054,40,621.034713
28.45927,40,638.806604
26.980205,40,656.571193
28.398303,40,674.331182
8.622222,10,678.792971
22.777836,31,692.569602
12.074929,16,699.661259
29.469057,40,717.553686
34.40357,40,735.38454
6.237336,8,738.986356
14.359073,18,747.039745
10.18378,12,752.376026
3.980019,5,754.610989
31.687213,40,772.513719
14.285549,16,779.573612
4.938937,7,782.706609
2.066667,3,784.067686
27.787172,40,801.785222
13.216791,16,808.886057
27.61971,40,826.732005
28.849623,40,844.499681
5.985039,7,847.649189
27.640281,40,865.42031
30.330596,40,883.254879
28.975495,40,901.042051
2.975442,4,902.84008
23.26012,29,915.699814
9.032994,11,924.755867
4.579694,6,927.430972
6.541941,8,931.023762
3.837042,5,933.263162
28.301898,40,951.014192
31.356097,40,968.850726
21.271881,27,980.937682
8.071747,10,985.364905
1.886925,3,986.70634
3.682599,5,988.938444
1.985873,3,990.271692
1.277528,2,991.174589
28.837322,40,1008.941087
7.01776,10,1013.410546
10.880004,13,1019.211264
11.885878,14,1025.442502
25.888889,40,1043.304794
27.624132,40,1061.080573
9.474807,11,1066.009938
7.77002,9,1069.988481
30.438228,40,1087.739102
17.553307,23,1098.041372
29.714826,40,1115.731507
29.747311,40,1133.53687
10.537547,12,1138.907308
3.918445,5,1141.132947
6.742413,8,1144.690949
29.50329,40,1162.554429
28.363242,40,1180.197388
2.982724,4,1181.985272
28.828106,40,1199.855451
7.844414,9,1203.89861
28.553177,40,1221.725657
5.822612,8,1225.296501
14.444338,16,1232.401459
31.764954,40,1250.121876
23.453803,30,1263.447963
2.8,4,1265.226908
3.191,4,1267.015662
28.048268,40,1284.891417
31.853255,40,1302.598053
29.981805,40,1320.287721
29.937849,40,1338.096236
28.968675,40,1355.833027
11.488728,13,1361.638545
8.427027,10,1366.118058
31.456889,40,1383.97567
27.555556,40,1401.805189
3.137044,4,1403.595169
31.439436,40,1421.452384
11.260197,13,1427.267277
3.910456,5,1429.505378
33.844595,40,1447.405213
16.174322,18,1455.457122
7.464367,9,1459.450811
30.189136,40,1477.119802
33.262817,40,1494.842261
29.869152,40,1512.786482
28.957444,40,1530.714089
29.353838,40,1548.485753
29.161723,40,1566.236321
32.62725,40,1583.995249
28.28756,40,1601.627697
32.737795,40,1619.345482
29.882728,40,1637.505323
11.45982,13,1643.462753
2.983389,5,1645.744195
6.872647,9,1649.868053
28.238488,40,1668.123918
26.916443,40,1686.384515
3.302131,4,1688.217966
16.94029,23,1698.778609
1.283404,2,1699.704354
27.360622,40,1717.975065
33.183292,40,1736.270524
28.521392,40,1754.548554
30.105792,40,1772.743119
34.441881,40,1791.07203
8.485245,10,1795.556475
