#{"t_start": 1767896040.9867983, "env_id": "highway-v0"}
r,l,t
12.135381,14,8.129806
20.411272,26,20.045171
10.509569,12,25.553601
29.644665,40,44.926905
16.219238,22,55.230795
28.714397,40,73.571435
28.207698,40,91.519415
21.829835,27,103.578955
11.790231,15,110.333359
30.411164,40,128.182076
30.902872,40,145.951854
8.96858,11,150.844456
17.247004,21,160.134034
30.211044,38,176.958569
6.809764,8,180.528665
1.933333,3,181.850342
4.751928,6,184.514951
32.299665,37,200.968245
28.923663,40,218.718013
28.38306,40,237.086728
27.782507,40,255.158331
14.685471,17,262.72372
29.40283,40,280.51284
27.595209,40,298.443046
28.809871,40,316.216335
21.996342,25,327.376383
29.971505,40,345.183058
3.111874,4,347.073448
29.385853,40,365.208676
14.084209,18,373.176091
16.285751,18,381.154953
16.382025,21,390.461257
2.784864,4,392.217034
29.496245,40,409.916554
3.954887,5,412.13395
27.368055,40,429.934477
32.146902,40,447.708001
1.03534,2,448.615331
28.453414,40,466.411659
30.392676,40,484.377432
7.925942,9,488.402923
3.106758,4,490.189515
7.53969,9,494.226382
30.007856,40,512.048722
30.650016,40,529.920423
26.690527,40,547.692213
22.477549,29,560.610551
2.0,3,561.946669
3.045492,4,563.73682
31.788133,40,581.468851
7.446013,10,585.901074
32.127347,40,603.786143
30.463716,40,621.496173
30.005606,40,639.260367
8.844444,10,643.697455
1.876439,3,645.019135
29.521628,40,662.757375
33.893647,40,680.604262
3.736296,5,682.837256
18.202024,23,693.031224
8.680463,10,697.442768
15.558573,18,705.555313
8.748551,12,710.855575
4.333333,5,713.103625
7.374492,9,717.111215
1.917831,3,718.46461
6.75387,9,722.532083
11.163985,13,728.277949
28.444444,40,746.143098
27.219094,40,764.026335
33.478247,40,781.82156
7.145656,9,785.84415
28.950033,35,801.336107
13.455918,16,808.441749
4.218816,5,810.705425
4.52145,6,813.351289
26.945096,40,831.209779
1.781474,3,832.554364
2.952878,4,834.329169
8.18546,10,838.779362
14.956318,17,846.321615
16.13211,19,854.792764
29.004275,40,872.584649
8.907109,11,877.461754
4.775478,6,880.145401
27.555556,40,897.958951
21.284407,23,908.161725
6.129156,8,911.705868
31.035438,40,933.723419
19.374491,24,944.351433
30.416031,40,962.162081
14.258522,17,969.76337
28.917292,40,987.621718
21.746336,28,1000.072162
11.965755,14,1006.286734
9.428471,11,1011.170828
31.401555,40,1029.013833
1.831146,3,1030.340609
27.735821,40,1048.214438
27.706336,40,1066.020374
31.073603,40,1083.722192
27.640712,40,1101.626949
31.706511,40,1119.286143
29.333333,40,1137.137689
6.40299,8,1140.690746
7.924875,9,1144.707778
30.389135,40,1162.566676
26.77295,40,1180.196817
29.618904,40,1198.070775
28.639629,40,1215.927999
30.537039,40,1233.757854
8.598475,10,1238.18382
26.85551,40,1255.878526
8.684415,11,1260.782653
14.211453,17,1268.368526
13.313398,18,1276.44675
7.519832,9,1280.436038
34.026602,40,1298.18583
6.139253,8,1301.719715
30.752665,40,1319.389699
27.810312,40,1337.196467
30.137747,40,1354.944958
29.668365,40,1372.829602
8.886999,11,1377.726846
4.067286,5,1379.979991
2.776839,4,1381.763333
7.924036,10,1386.225214
29.849392,40,1404.05432
6.043253,8,1407.632852
31.415478,40,1425.492019
29.477306,40,1443.421005
27.678065,40,1461.246037
5.418306,7,1464.388428
27.595585,40,1481.972094
29.839187,40,1499.762814
19.76792,25,1510.967577
28.480381,40,1528.938656
31.968427,40,1546.705393
29.091995,40,1564.477745
24.036144,30,1577.749714
3.066667,4,1579.526186
33.430406,40,1597.245922
6.400698,9,1601.193683
4.002734,5,1603.436136
26.862059,40,1621.146726
17.867499,19,1629.780148
31.431445,40,1648.039932
27.603809,40,1666.320896
11.577948,13,1672.290379
28.880353,40,1690.567391
12.263641,15,1697.413588
5.4357,7,1700.629126
14.248621,17,1708.450678
27.555556,40,1726.68415
33.873346,40,1744.948167
7.727379,9,1749.050716
33.238817,40,1767.309165
27.481872,40,1785.635869
26.783674,40,1803.606781
25.991795,30,1816.855165
29.063571,40,1834.57352
7.923281,10,1843.015634
3.836668,5,1845.232071
30.825966,40,1863.140716
30.744346,40,1881.246661
34.106698,40,1899.498289
28.394536,40,1917.714257
30.451354,40,1935.930371
31.210232,40,1954.10901
31.037159,40,1972.343139
6.549519,10,1976.887375
29.948391,40,1995.242659
27.903204,40,2013.619226
23.333333,40,2031.764172
17.973467,23,2042.257618
28.925762,40,2060.511702
29.535283,40,2078.88195
32.429693,40,2097.294837
28.234192,40,2115.690655
28.38479,40,2133.838287
27.023455,40,2151.973181
26.666667,40,2170.344987
30.029872,40,2188.956296
31.471942,40,2207.882585
28.38298,40,2228.329346
28.522126,40,2248.389587
29.055891,40,2267.924836
29.568218,40,2286.222763
10.489948,13,2292.234189
29.532677,40,2310.370747
30.236043,40,2328.504892
31.627156,40,2347.427087
3.764122,5,2349.720228
30.401018,40,2368.463664
8.291515,10,2373.119757
30.165178,40,2392.639898
30.941934,40,2411.296718
28.672778,40,2429.630937
29.846714,40,2447.741448
28.207026,40,2465.91263
30.703018,40,2484.835406
28.444444,40,2503.684329
29.512971,40,2522.304956
29.093217,40,2540.563158
12.720583,16,2548.288437
30.001108,40,2567.240556
29.694282,40,2585.651503
7.296408,9,2589.864906
31.019465,40,2608.418115
28.135153,40,2626.793278
28.80125,40,2649.502934
29.113084,40,2671.538056
29.075639,40,2692.849445
20.634367,28,2708.198313
29.46828,40,2729.673935
28.476933,40,2751.323548
27.557654,40,2773.380884
15.661816,18,2782.871384
30.473211,40,2804.540975
26.765648,40,2832.820968
27.487654,40,2854.921758
29.688853,40,2876.795382
