#{"t_start": 1768143724.9751704, "env_id": "highway-v0"}
r,l,t
3.980561,5,2.407574
7.136071,8,6.149563
29.366434,40,24.99996
14.736989,17,32.897409
6.846723,8,36.584757
20.32943,26,48.914587
4.165071,5,51.26125
28.474574,40,69.909518
24.712155,34,85.686521
5.943071,8,89.390556
28.609961,40,107.982994
28.797944,40,126.767659
3.814562,5,129.13278
29.883943,40,147.781224
15.412928,18,156.154943
8.826405,12,161.702805
7.575286,9,165.862605
26.169205,32,180.744328
9.197181,12,186.305164
15.249876,17,194.352333
28.562129,40,212.881967
26.990829,40,231.633313
22.0465,26,244.143186
9.639963,11,249.308353
4.146932,5,251.637702
9.911067,12,257.224485
1.831787,3,258.628676
1.754977,3,260.051835
28.210832,40,278.692975
7.004464,8,282.381655
10.511477,13,288.580937
3.04147,4,290.464032
31.668713,40,309.396062
16.39764,19,318.363693
7.266237,9,322.600897
34.197726,40,341.720328
26.783115,40,360.68408
5.161952,8,364.503838
3.763832,5,366.96457
8.699014,12,372.642481
31.003932,40,391.677139
10.759617,14,398.362535
32.064776,40,417.450353
30.673136,40,436.673555
28.20817,37,454.446494
4.795644,6,457.332149
34.015917,40,476.492705
29.059602,40,495.63622
1.866667,3,497.097123
28.487907,36,514.497605
17.634124,23,525.649896
3.142527,4,527.596593
28.668352,40,546.96473
30.407404,40,566.246437
32.988337,40,585.28577
16.931766,21,595.125007
27.660849,40,614.196717
4.791563,6,617.148044
30.858516,40,636.724023
27.199315,40,656.692147
8.196146,11,662.111984
21.44667,24,673.314087
33.719656,40,691.882145
27.133333,40,710.564724
10.101943,12,716.31897
23.595839,29,730.157555
9.308908,12,735.889675
33.928726,40,755.227337
10.7671,12,761.02134
3.553137,5,763.462396
2.066667,3,764.924713
34.192427,40,784.434897
8.024423,9,788.695628
28.836933,40,807.468656
14.897846,18,815.767774
17.622004,21,825.451908
9.292949,11,830.589303
28.055586,40,849.085455
5.17219,7,852.348158
31.219165,40,871.155206
27.563156,40,890.545531
28.824691,40,909.728336
32.206877,40,928.732229
4.929289,6,931.595093
3.844444,5,934.048959
28.91472,40,953.597718
17.567127,19,962.671156
29.558813,40,989.918319
29.383394,40,1008.596209
29.580171,40,1027.2671
28.692915,40,1045.878729
2.734642,4,1047.773365
1.899115,3,1049.184454
28.114568,40,1068.507573
26.935648,40,1087.950017
29.67237,40,1106.645415
20.595002,26,1118.835815
30.990301,40,1137.764221
14.94798,19,1146.863129
22.847153,28,1160.212027
30.178124,40,1179.217103
33.280241,40,1198.007879
29.684887,40,1217.125953
