#{"t_start": 1768143724.9751682, "env_id": "highway-v0"}
r,l,t
10.780372,12,5.673517
3.736658,5,8.049294
32.726552,40,26.879549
29.333333,40,45.628166
1.022222,2,46.593137
7.090275,9,50.784809
1.710275,3,52.215953
2.0,3,53.633206
27.159477,40,72.24012
28.220419,40,90.78957
32.852037,40,109.428161
4.159641,5,111.831178
6.232119,8,115.534889
29.41416,40,134.247021
31.025588,40,152.882455
2.702328,4,154.752772
20.235875,26,166.844697
1.333333,2,167.785022
28.171614,40,186.323807
1.933333,3,187.800065
1.288889,2,188.757866
9.765802,12,194.374617
28.444444,40,212.876243
1.255381,2,213.840668
36.059568,40,232.62909
11.002288,14,239.246862
27.093324,40,258.169539
27.950079,40,276.854178
19.009672,22,287.126754
25.1374,34,303.22743
5.809934,7,306.527498
4.222276,5,308.905678
29.333333,40,327.797804
7.995195,9,332.127876
12.578704,15,339.337302
13.84081,18,347.938741
9.415405,12,353.592984
6.65163,8,357.408237
14.509693,17,365.480714
15.487619,20,375.018421
29.145859,40,394.071017
30.30544,40,413.151846
2.797271,4,415.080701
30.737687,40,434.26539
12.153981,15,441.533213
29.11891,40,460.704235
29.639449,40,479.877858
28.384118,40,499.044468
17.526715,40,518.427093
27.732159,40,537.78243
5.159417,6,540.718636
28.98223,40,560.026753
3.808972,5,562.413615
29.204647,40,581.489386
3.930085,5,583.848386
3.981434,5,586.203937
5.066667,6,589.038951
30.056053,40,607.960311
25.05533,40,627.491332
30.055173,40,646.967527
12.412992,14,654.146558
28.53707,37,671.925155
17.332615,24,683.042089
7.447152,9,687.238467
30.803017,40,705.75135
28.45374,40,724.898885
11.463462,13,731.139779
29.042529,36,748.458253
11.100029,13,754.748119
31.073444,40,774.125831
4.810635,7,777.647416
12.272947,13,783.967911
3.267143,5,786.350664
7.560299,9,790.580439
27.265737,40,809.317151
28.770765,40,827.802897
9.182643,13,833.820156
3.930858,5,836.131248
19.86833,27,848.619112
28.106416,40,867.359426
6.607333,8,871.167136
27.201618,40,890.574395
30.133233,40,909.726928
21.783415,28,923.030078
13.951445,16,930.641575
29.703686,40,950.219861
3.844444,5,952.637254
12.158321,13,958.909286
29.414768,40,986.095307
27.778965,40,1004.819034
13.983299,17,1012.819557
8.522913,12,1018.438724
8.78671,11,1023.537433
29.323799,40,1042.121566
28.284169,40,1061.167916
30.24791,40,1080.756952
3.440376,5,1083.143869
