#{"t_start": 1768143724.9752545, "env_id": "highway-v0"}
r,l,t
32.2607,40,18.963996
28.444444,40,37.547889
1.022222,2,38.526667
1.101361,2,39.461814
35.281155,40,58.301377
26.674318,40,76.848783
28.977206,40,95.448113
23.10233,27,107.993203
3.738229,5,110.373286
3.244444,4,112.308913
5.787529,7,115.524437
2.978546,4,117.406344
11.329023,14,123.961056
8.651341,11,129.133578
33.279773,40,147.779745
30.712456,40,166.359193
8.710418,10,171.028994
28.637263,40,189.723503
24.365448,26,201.774885
9.316695,11,206.851395
25.835258,32,221.771195
27.261733,40,240.766522
30.190837,40,259.589948
6.582197,8,263.322912
6.821293,8,267.055444
13.631851,19,275.897003
29.558561,40,294.779469
29.9745,40,313.608564
28.217231,36,330.697083
7.167034,9,335.019149
12.356835,15,342.208405
8.186619,9,346.503005
31.822525,40,365.471954
4.666667,6,368.400414
30.591932,40,387.379544
9.837725,11,392.64517
6.298746,7,395.953216
30.710858,40,415.076673
4.691372,6,417.936738
15.128394,18,426.538174
10.8647,14,433.274361
8.351225,10,438.128755
29.317617,40,457.334748
23.076212,28,470.757382
9.047049,11,476.016727
3.632389,5,478.432965
3.690988,5,480.874989
30.418523,40,500.032266
1.924649,3,501.477211
28.548953,40,520.866566
23.024081,28,534.335614
19.983981,27,547.459247
16.557605,21,557.559595
2.964272,4,559.544161
9.776665,11,564.834839
26.71814,40,583.838714
30.682057,37,601.357198
8.314756,12,606.983903
32.280337,40,626.498536
19.563535,24,638.174601
26.421941,32,654.155922
17.208088,21,664.505485
31.48006,40,683.026833
30.106727,40,701.563244
3.788548,5,703.875562
2.888889,4,705.767375
30.739688,40,724.899041
8.204833,10,729.67522
28.101413,40,748.93525
33.125383,40,768.30214
10.385634,12,774.135955
3.042541,4,776.158123
27.623445,40,795.238316
6.135128,8,798.954067
28.96049,40,817.605761
3.181389,5,819.913047
1.930619,3,821.294043
29.976528,40,839.829793
7.411136,10,844.453033
9.854233,12,850.018979
12.6368,15,856.972541
5.72744,7,860.245724
29.140727,40,879.315203
29.953341,40,898.681131
26.721658,33,914.502757
12.476153,18,923.007781
30.314072,40,942.274929
22.398294,27,955.533598
29.334675,40,982.617186
30.899755,40,1001.568818
29.171746,40,1020.315506
27.779924,36,1036.999966
29.315844,40,1055.868618
8.888889,10,1060.68073
10.458756,14,1067.517449
29.252059,40,1086.973745
27.593839,40,1105.675391
29.684561,40,1124.415381
15.985204,22,1134.863899
1.143552,2,1135.855028
11.064727,15,1143.05347
26.735782,40,1162.107745
33.527444,37,1179.689178
15.744671,20,1189.132433
29.963634,40,1208.051129
32.425225,40,1227.408769
28.690339,40,1246.563449
35.134769,40,1265.610167
19.638931,25,1277.638134
32.221394,40,1297.852073
11.296356,14,1304.601017
28.568192,40,1324.224575
30.352669,40,1344.329007
28.74653,40,1363.545843
28.63914,40,1382.946184
