#{"t_start": 1768143724.9754949, "env_id": "highway-v0"}
r,l,t
27.75473,40,18.966526
29.951927,40,37.51607
11.375639,13,43.697739
29.553343,40,62.517993
3.287136,5,64.844701
29.714892,40,83.357842
28.386624,40,101.930104
13.558916,16,109.407448
28.826165,40,128.18708
30.197115,40,146.816606
32.059325,40,165.397537
31.185248,40,183.965238
29.855222,40,202.734252
11.849856,13,208.712037
8.944886,10,213.338676
4.788796,7,216.635212
28.703987,40,235.455886
15.764157,17,243.662935
6.943561,9,247.879767
7.652446,10,252.586258
28.862824,40,271.239709
33.34676,40,289.981776
5.634262,7,293.323261
12.546893,15,300.416071
25.44253,32,315.51921
19.502366,22,325.915544
6.55828,8,329.721717
27.849576,40,348.889768
13.945085,15,355.960603
4.806928,6,358.829341
12.057922,13,365.007304
26.828131,40,384.034306
2.034755,3,385.470016
5.663181,7,388.834401
30.885327,40,407.910121
24.507275,32,423.204777
34.672048,40,442.507842
1.01752,2,443.461411
6.135575,7,446.758244
30.200415,40,466.02003
14.616114,17,474.114123
6.089681,8,477.944541
29.184492,40,497.115076
15.380785,20,506.764167
2.006437,3,508.200497
3.978238,6,511.115384
1.933036,3,512.562464
2.0,3,513.999382
4.455494,6,516.927956
4.935765,6,519.887542
4.700275,6,522.776875
11.640335,13,529.010555
9.824098,11,534.335186
5.160973,6,537.265012
28.519414,40,556.580456
2.514463,4,558.555667
3.679453,5,560.986942
28.594254,40,580.038057
3.609657,5,582.426341
10.060051,12,588.100049
10.601935,12,593.725049
9.786578,11,598.899109
2.716607,4,600.863899
29.390817,40,620.122154
27.55782,40,639.608284
29.333333,40,659.662078
4.649403,6,662.58342
13.064625,15,669.616873
12.512802,14,676.072977
3.562971,5,678.378202
13.640559,15,685.369145
28.877143,40,703.860973
12.444236,16,711.530522
10.634786,13,717.759048
4.222222,5,720.145324
10.888493,15,727.263177
27.151088,40,746.516146
1.752241,3,747.970617
7.243285,10,752.797679
27.136674,40,772.199398
19.162941,22,783.012174
13.310671,15,790.101395
2.977778,4,792.00405
6.683673,8,795.70379
27.986781,40,814.398001
12.038219,15,821.298531
34.840773,40,839.810171
8.128091,11,844.926047
2.0,3,846.326517
14.529303,17,854.195095
34.709154,40,873.074022
10.294667,12,878.817406
29.401381,40,898.191229
28.389534,40,917.370946
29.768426,37,934.991802
6.826556,8,938.818871
27.968521,40,958.417557
1.837977,3,959.847986
13.039376,16,967.365417
2.698107,4,969.267653
22.740792,40,996.504495
6.477645,8,1000.193067
11.995059,13,1006.26665
32.719197,40,1024.937135
28.989685,40,1043.545524
27.555556,40,1062.606057
29.635169,40,1082.201567
4.993909,7,1085.499387
29.537256,40,1104.2256
28.943988,40,1123.032781
32.230337,40,1142.085161
14.153275,17,1150.266756
26.666667,40,1169.241247
29.57765,40,1188.190349
21.045963,26,1200.359443
7.01194,9,1204.66
7.619233,9,1208.988646
27.768756,31,1223.813172
22.044444,40,1243.298231
30.266028,40,1262.289526
2.989783,5,1264.647603
29.06189,35,1281.528382
30.075641,40,1301.699229
29.554625,40,1321.2826
7.819745,10,1326.328265
2.770805,4,1328.303886
29.681959,40,1348.101002
30.978193,40,1367.517067
26.948933,40,1386.78588
16.624389,20,1396.414037
29.337424,40,1415.717638
28.947332,40,1435.030817
27.229887,40,1454.877363
30.316649,40,1474.127319
29.566467,40,1493.353583
16.193001,20,1502.823936
11.696911,14,1509.575936
30.003848,40,1528.349716
12.046511,14,1534.902646
28.77558,40,1554.084114
30.172263,40,1573.605648
32.149766,40,1592.590531
11.485868,16,1600.138535
19.414428,25,1611.822036
27.158447,40,1630.53253
29.794011,40,1649.659552
30.272166,40,1669.073805
4.111111,5,1671.49829
18.030208,21,1681.701613
29.362262,40,1700.887821
12.672188,16,1708.37602
29.404166,40,1727.11019
31.999119,40,1745.872016
27.744954,40,1764.732883
