#{"t_start": 1767956272.8360658, "env_id": "highway-v0"}
r,l,t
17.257082,22,10.090719
29.742966,40,28.613186
3.106166,4,30.460428
30.127587,40,48.869035
5.2,6,51.649887
28.739097,40,69.892492
24.302759,40,88.167863
17.802197,23,98.747374
3.491462,5,101.084425
17.557055,24,112.006236
33.139496,39,129.87355
2.8,4,131.73294
3.728803,5,134.034003
30.389761,40,152.447097
13.336586,16,159.751727
28.155177,40,178.220281
28.526351,40,196.511429
14.805911,17,204.290107
3.844444,5,206.579927
29.910756,40,225.034205
10.038637,12,230.537446
8.682822,11,235.54874
9.35779,11,240.570562
28.487106,40,258.839503
29.333333,40,277.244617
32.828883,40,295.521198
25.921412,33,310.626236
3.7049,6,313.394569
27.764018,40,331.785418
6.868713,8,335.494801
5.840824,7,338.732966
28.557918,40,356.98405
27.917962,40,375.316622
33.680262,40,394.01667
4.959327,6,396.733563
34.222237,40,416.387568
29.591665,38,433.692195
26.72307,40,451.643019
11.393473,16,458.787554
3.733333,5,461.013862
11.972998,14,467.18992
10.852811,14,473.417638
34.546718,39,490.787008
9.57607,11,495.737937
4.670562,6,498.472075
7.576618,10,502.975288
25.823285,40,520.800102
32.622491,40,538.632529
1.899713,3,539.993919
14.322768,17,547.63365
14.156451,18,555.670896
5.968997,8,559.222989
3.969129,5,561.486383
28.553679,40,579.349418
32.689804,40,597.37079
21.024142,26,608.883269
27.206517,40,626.756742
16.660699,22,636.570937
29.45431,40,654.389809
12.904044,17,661.988184
27.839226,40,679.867594
29.768868,40,697.611925
11.980685,13,703.406883
4.073627,5,705.657247
10.681311,13,711.39062
9.553626,11,716.247378
6.245698,8,719.861004
29.354533,40,737.552938
18.269101,21,746.934253
28.637981,40,764.810199
5.141393,7,767.911726
28.628859,40,785.595231
6.246877,7,788.711857
19.194555,25,799.865424
30.629025,40,817.644723
30.374983,40,835.601119
11.723022,14,841.853183
12.809482,16,848.984833
29.623495,40,866.710373
29.949412,40,884.529248
