#{"t_start": 1768015355.0207088, "env_id": "highway-v0"}
r,l,t
28.465632,40,18.398426
18.235444,22,28.391265
1.57166,3,29.793922
1.097325,2,30.720379
37.000568,40,48.919369
10.941359,13,54.926517
32.541583,40,73.145831
21.910478,26,85.076917
2.991591,4,86.909651
23.540822,30,100.613343
5.767136,7,103.839304
3.064299,4,105.728649
8.885707,10,110.321812
29.601554,40,128.745757
11.303953,14,135.12543
32.563406,40,153.462955
11.092179,13,159.47464
18.485598,23,169.924745
35.027919,40,188.231069
6.637651,8,191.932242
6.581389,8,195.692869
4.455664,6,198.414413
29.733628,40,216.723516
11.289132,14,223.173241
7.893018,9,227.243087
27.513378,40,245.573744
7.076939,9,249.65792
11.273146,14,256.0491
2.053283,3,257.43615
31.537678,40,275.804544
31.096582,40,294.12954
12.898655,15,300.995448
31.826754,40,319.177938
6.955598,9,323.294193
31.289202,40,341.542496
30.140803,37,358.467154
30.951339,40,376.757322
33.041566,40,395.044425
9.466586,13,401.036262
9.64046,11,406.077116
27.151987,34,421.597624
15.141011,19,430.333826
32.1015,40,448.577302
18.811371,22,458.590683
29.729397,40,476.997132
5.63231,8,480.735119
5.869494,8,484.418393
8.292311,9,488.511021
2.719182,4,490.407539
8.65876,10,495.00026
9.017854,10,499.632774
16.123497,22,509.631514
28.716676,40,527.87087
23.213249,31,542.010546
13.226681,16,549.449358
1.748125,3,550.834022
29.306616,40,569.18235
27.853446,40,587.574476
29.732951,40,605.979617
12.716616,15,612.931952
6.333333,7,616.190125
27.377641,40,634.523956
32.040815,40,652.785377
15.757125,21,662.403149
28.438194,40,680.820174
27.775565,40,699.118875
29.539495,40,717.316343
9.721861,12,722.822067
5.985626,8,726.451755
29.750162,40,744.545276
7.316584,8,748.213747
3.017388,4,750.083914
28.099279,40,768.447266
7.670285,10,773.040713
29.45268,40,791.326597
2.57953,4,793.149759
9.46694,13,799.103371
31.093428,40,817.335833
3.797501,5,819.689025
29.927582,40,838.043268
29.704437,40,856.34604
26.926831,40,874.775912
13.229591,18,882.89617
16.204561,17,890.76294
6.527663,8,894.43266
26.679279,40,912.682594
30.056217,40,931.085862
32.113318,40,953.574018
6.991252,9,957.645139
29.781818,40,975.971102
2.982472,4,977.803499
26.666667,40,996.148806
28.491206,40,1014.462056
12.106113,14,1020.954433
30.160916,40,1039.230714
30.19157,40,1057.533278
29.019771,36,1074.102606
30.463423,40,1092.461158
27.025746,40,1110.747917
1.691574,3,1112.159274
28.00868,40,1130.438549
19.856587,26,1142.337011
30.828928,40,1160.655644
4.752281,6,1163.41089
9.09797,11,1168.466902
29.863853,40,1186.775377
32.968821,40,1205.18223
30.342953,40,1223.521304
9.366389,11,1228.546129
29.360209,40,1246.995672
31.604722,40,1265.153664
18.78846,24,1276.190017
31.062908,40,1294.688242
16.170186,18,1302.905604
28.578289,40,1321.238099
14.967179,16,1328.587097
14.319005,16,1335.926992
29.435549,40,1354.295581
19.227021,25,1365.732069
27.520167,34,1381.226637
29.438565,40,1399.659811
30.249272,40,1417.969554
26.666667,40,1436.43157
30.163148,40,1454.968295
5.894309,8,1458.657678
10.255585,13,1464.631104
28.421205,40,1483.039536
28.444444,40,1501.35681
3.882185,5,1503.674932
29.713418,40,1522.162134
12.470303,14,1528.589985
5.764103,7,1531.80569
31.982828,40,1550.159381
7.096405,9,1554.263945
1.840895,3,1555.639963
29.006815,40,1573.951677
33.874887,40,1592.280399
27.965948,40,1610.595415
2.678021,4,1612.393523
30.824951,40,1630.588191
28.702144,40,1648.776536
31.014142,40,1667.092005
26.735826,40,1685.397644
28.422466,40,1703.800017
27.768544,40,1722.339233
22.949003,40,1740.674538
5.055607,7,1743.823843
28.51915,40,1762.118409
26.814529,40,1780.28157
5.901245,8,1783.955468
27.075606,40,1802.264343
3.499893,5,1804.544383
27.525759,40,1822.671085
31.603794,40,1840.842793
30.318537,40,1858.998847
10.359094,13,1864.983368
22.288501,40,1887.412529
7.713922,9,1891.542858
32.295415,40,1909.858025
28.099628,40,1928.108383
30.398902,40,1946.381348
31.517981,40,1964.680397
5.423139,7,1967.88334
29.333333,40,1986.26967
31.553022,40,2004.624263
33.628536,40,2023.006402
31.089129,40,2041.428692
22.236525,24,2052.549805
27.555556,40,2070.806261
27.233313,40,2089.164951
11.69483,13,2095.176101
28.466683,40,2113.387896
31.201812,40,2131.511987
28.961863,40,2149.802517
28.515354,40,2168.184384
31.274549,40,2186.629193
26.997324,40,2204.921618
29.352507,40,2223.279089
28.63611,40,2241.512596
17.778093,20,2250.599695
28.356977,40,2268.990399
6.901392,9,2273.064434
17.298212,24,2284.089305
28.172755,40,2302.314757
28.917474,40,2320.617731
29.752892,40,2338.99244
29.992543,40,2357.359939
31.953455,40,2375.781999
26.667895,40,2394.052508
29.720213,40,2412.172075
