#{"t_start": 1768015355.0210202, "env_id": "highway-v0"}
r,l,t
8.597529,11,5.107163
7.805241,9,9.244139
29.661445,40,27.479461
8.926575,10,32.096208
30.770271,40,50.30829
5.064207,6,53.093492
30.478576,40,71.296941
4.923882,6,74.076423
17.535072,24,85.078518
6.031051,8,88.76286
25.11082,28,101.534651
4.873854,7,104.779015
5.23791,7,108.035217
30.504273,40,126.414177
11.036536,13,132.357002
3.695771,5,134.666593
6.00905,7,137.90699
31.269415,39,155.792713
9.805687,13,161.761779
13.749487,15,168.554835
9.25723,11,173.597633
4.894413,6,176.355909
8.739338,10,180.899353
11.875395,14,187.287754
12.010861,15,194.295019
10.709234,13,200.275973
23.230887,29,213.467203
3.019232,5,215.758097
3.437343,5,218.122327
32.160969,40,236.38431
14.145295,18,244.642328
28.727622,40,262.942749
22.756843,27,275.344406
23.057654,27,287.66757
4.898755,6,290.438698
24.101035,28,303.274729
29.655714,40,321.461451
1.805527,3,322.812021
28.154125,40,341.077602
11.322168,16,348.348539
18.04267,21,357.987254
27.106619,40,376.305842
23.114729,25,387.784915
28.74364,40,406.057095
8.633991,11,411.069827
30.198824,40,429.37668
29.033735,33,444.461871
5.300299,7,447.653935
13.004991,18,455.842998
11.968879,14,462.299273
6.808127,8,466.00558
20.322745,25,477.448592
4.03253,5,479.804731
27.99128,40,498.223848
22.82802,24,509.155489
10.209383,12,514.615938
30.82744,40,532.884863
13.501547,18,541.065562
8.741185,10,545.731862
12.997701,17,553.592379
6.159947,8,557.231267
28.358722,40,575.653375
34.922216,40,593.99757
3.922372,5,596.287977
29.831972,40,614.803486
28.631855,40,633.129162
3.93934,5,635.443414
24.187296,27,647.750926
11.809486,13,653.716228
2.901769,4,655.572574
29.445342,40,673.872487
33.720044,40,692.250157
29.61044,40,710.434748
16.465099,22,720.495388
29.711815,40,738.655616
6.781856,8,742.293857
27.698152,40,760.577432
10.077969,12,766.096574
4.528275,6,768.918834
2.066667,3,770.275501
19.426449,24,781.262899
10.50539,13,787.229234
7.789101,10,791.793814
31.253816,40,810.088211
23.451432,40,828.432474
30.036939,40,846.737441
28.547213,40,865.141403
4.922631,6,867.895163
6.845581,8,871.565568
1.92332,3,872.93477
17.07877,25,884.30112
28.79196,40,902.586216
27.907751,35,918.650825
26.576684,34,934.29916
12.223991,17,946.161162
32.731155,40,964.529596
30.26106,40,982.82294
29.798556,40,1001.214869
27.976004,40,1019.525734
30.842454,40,1037.826197
13.89402,17,1045.607498
15.855967,17,1053.333706
6.8433,8,1057.033682
10.774099,13,1063.024576
8.92786,10,1067.648456
28.925777,40,1086.034705
29.481289,40,1104.349365
11.495771,14,1110.723928
32.618783,40,1129.074864
18.0,40,1147.402415
28.767258,40,1165.686046
29.831955,40,1183.983966
8.558856,10,1188.593493
4.920457,6,1191.337764
3.685315,5,1193.709304
29.192945,40,1212.109059
17.435291,20,1221.198994
28.808773,40,1239.563201
4.526262,6,1242.332466
28.856145,40,1260.619297
29.628928,40,1279.020373
30.081766,35,1295.164456
30.577202,40,1313.355886
29.387275,40,1331.787883
21.89097,25,1343.249261
31.594393,40,1361.595042
9.854232,12,1367.131278
30.880088,40,1385.273202
6.815431,8,1388.977915
28.075595,40,1407.415454
23.651642,28,1420.295157
30.311914,40,1438.718452
28.499639,40,1457.267758
30.158914,40,1475.629791
30.007946,40,1494.052662
24.001531,40,1512.459095
32.985005,40,1530.879751
32.755826,40,1549.226407
2.066667,3,1550.618971
29.333439,40,1568.912308
31.890879,40,1587.256086
32.644912,40,1605.526253
29.810729,40,1623.719825
28.917815,40,1641.958145
20.335519,24,1652.899453
28.654579,40,1671.231094
24.311806,30,1684.927246
1.855078,3,1686.349448
3.751257,5,1688.644744
27.620244,40,1707.040292
29.727605,40,1725.594867
30.264318,40,1743.834687
2.606106,4,1745.644083
29.379053,40,1763.98774
28.444444,40,1782.130828
28.444444,40,1800.377678
30.304342,40,1818.594488
27.956093,40,1836.743824
30.084654,40,1854.883455
23.566175,30,1868.676493
6.920183,9,1872.837777
28.444444,40,1895.237982
30.585328,40,1913.492493
21.497748,28,1926.206366
26.868129,40,1944.509368
31.575364,40,1962.835139
30.7236,40,1981.227409
29.567155,40,1999.641269
30.576774,40,2017.903836
26.734786,40,2036.368861
32.951184,40,2054.824613
29.164859,40,2073.124901
9.557196,11,2078.10252
28.917501,40,2096.593106
29.112831,40,2114.803731
29.157633,40,2132.880294
30.868747,40,2151.19159
29.522244,40,2169.594824
31.013023,40,2187.997997
32.563493,39,2205.846974
27.555556,40,2224.240566
29.381447,40,2242.427723
28.653692,40,2260.649436
30.368645,40,2279.03836
32.199807,40,2297.257796
26.929046,40,2315.592074
1.822792,3,2316.968899
28.444444,40,2335.298436
18.555369,23,2345.864565
28.582011,40,2364.297801
27.214282,40,2382.579787
28.079232,40,2400.840709
30.304659,40,2418.970461
29.747357,40,2437.270811
30.237348,40,2455.456083
29.418005,40,2473.81011
31.550906,40,2492.072361
29.300017,40,2510.406848
6.365752,8,2514.044182
26.239294,32,2528.638743
27.440926,40,2546.849657
22.840693,31,2560.999193
28.867385,40,2579.291542
29.383165,40,2597.554067
27.736644,40,2615.916845
28.918854,40,2634.143782
32.350029,40,2652.471082
29.333333,40,2670.820643
30.502258,40,2689.05324
28.992942,40,2707.191478
31.372255,40,2725.455537
28.444444,40,2743.685095
27.582803,40,2762.067012
28.898194,40,2780.366884
30.166446,40,2798.688146
29.362609,40,2817.075346
29.089797,40,2839.371995
29.401238,40,2857.804109
30.11826,40,2876.061399
28.727993,40,2894.42434
31.219418,40,2912.827839
29.614326,40,2931.266014
29.456856,40,2949.612583
29.797416,40,2967.961061
