#{"t_start": 1767570884.1919377, "env_id": "highway-v0"}
r,l,t
5.250072,6,3.812616
28.882371,40,21.962374
33.292044,39,39.483606
17.43079,19,47.982139
27.451167,40,65.766399
5.215758,6,68.425822
9.178998,11,73.321141
29.416138,40,91.017306
30.719532,40,108.796318
26.680937,40,126.744609
1.850059,3,128.091092
26.775308,40,146.109677
29.014515,40,163.972038
30.439927,40,182.035868
28.781002,40,200.190981
4.631589,6,202.893695
1.913076,3,204.269135
26.7838,40,222.627446
28.792783,40,240.938304
14.061185,16,248.306542
23.205503,28,261.228367
21.394458,23,271.449719
11.210444,15,278.192933
2.684643,4,279.989121
9.236673,12,285.402993
28.676721,40,303.486072
33.042799,40,321.455671
3.958115,5,323.679719
2.333333,3,325.026902
5.594253,7,328.171059
27.405588,40,346.035996
9.304857,11,351.016263
7.748924,9,355.069496
30.449013,40,373.343535
31.624256,40,391.46547
26.919119,40,409.541647
31.582835,40,427.625399
5.866667,7,430.807546
13.628715,15,437.676182
11.714499,15,444.469937
28.785097,40,462.402374
21.333333,40,480.381353
28.306071,34,495.751037
5.64613,7,498.925553
27.555556,40,516.984754
5.261444,7,520.243359
6.989525,8,523.943726
17.23814,22,534.017764
17.554183,22,544.428611
15.086685,17,552.052939
28.908858,40,570.453396
11.13153,13,576.593099
15.57315,18,584.609586
19.099854,20,593.50417
4.739338,6,597.423492
33.463708,40,616.293741
29.703697,40,634.567828
6.561323,8,638.143377
26.672256,40,656.420135
1.333333,2,657.42567
29.350393,40,676.624686
27.555556,40,694.80663
27.343873,35,710.911673
12.681307,16,718.217216
1.979829,3,719.6199
29.338231,40,738.014954
14.14106,16,745.322551
22.052366,27,758.099334
28.966068,40,776.708901
6.565391,8,780.456391
30.731028,40,802.395595
1.245854,2,803.563065
9.70814,13,810.989715
31.884009,40,833.446962
8.406949,11,839.601547
35.130144,40,861.467904
13.852632,17,870.710294
4.05787,5,873.509418
27.077065,40,895.916239
11.416959,14,903.886722
1.943425,3,905.594886
25.72173,40,928.133164
7.692371,9,932.978835
31.38579,40,954.678859
29.288149,40,982.888633
32.356949,40,1005.198752
30.550347,40,1026.998997
28.961065,40,1047.273878
30.809633,40,1068.745974
26.816058,40,1090.592957
28.401387,40,1112.183262
27.199792,40,1133.957649
30.147807,40,1155.723633
28.209736,40,1177.694144
27.605883,40,1199.572902
27.255962,40,1221.653858
13.786233,17,1230.807136
3.802982,5,1233.528329
30.29085,40,1255.594436
12.4,14,1263.30775
33.293292,40,1285.518472
29.925045,40,1307.653912
27.205741,40,1328.939686
17.899038,25,1342.683688
30.088979,40,1364.566275
4.500018,6,1367.792538
31.910262,40,1389.311237
