#{"t_start": 1767570884.2155619, "env_id": "highway-v0"}
r,l,t
6.539122,9,5.146986
27.57985,40,23.331147
22.007101,27,35.475943
24.058917,31,49.339635
6.054707,8,52.884951
29.438153,40,70.621867
12.089948,14,76.85672
27.144939,40,94.558647
4.746974,6,97.210005
28.070984,40,115.034585
29.109313,40,133.046393
29.876242,40,151.028574
4.442846,6,153.667921
31.47795,40,171.695252
31.52649,40,189.800442
10.273941,13,195.634914
2.766987,4,197.455085
4.544917,6,200.165486
7.058874,8,203.768704
32.494977,40,222.126464
28.737985,40,240.468316
30.181996,40,258.952563
28.676372,40,276.821438
31.502253,40,294.891272
28.21867,35,310.684571
27.014879,31,324.555339
6.716597,8,328.141278
30.328057,40,346.016372
4.531002,6,348.72959
27.797613,33,363.798406
8.702308,10,368.302364
5.985587,8,371.935754
12.120644,13,377.872348
25.267117,29,390.986526
29.626484,40,409.036256
27.50529,34,424.461003
7.543694,9,428.520002
9.772444,12,433.954396
29.333972,40,451.971167
27.883601,40,470.02231
20.181017,23,480.368928
10.356838,12,485.798033
31.536257,37,502.628989
25.808197,28,515.154593
7.283072,9,519.281187
15.448929,21,528.85636
3.155556,4,530.709401
6.882999,8,534.457624
28.450278,40,552.939099
16.693359,23,563.560027
28.320441,40,581.868183
15.720369,20,590.712754
11.374033,15,598.891713
16.126023,18,607.258836
32.45935,40,625.855753
29.694829,40,644.016099
27.700779,40,662.866207
5.900269,7,666.290801
3.603538,5,668.555837
31.065183,40,687.041607
4.836271,6,689.739565
2.488889,4,691.596234
29.630986,40,709.95659
29.646581,40,728.318567
24.293167,30,742.080153
1.846474,3,743.459875
5.705962,7,746.683957
4.979997,6,749.457138
28.790174,40,768.255752
15.850928,19,777.155185
11.021686,14,784.084421
15.691549,19,794.282891
6.842093,9,799.458634
8.3515,10,805.299896
28.257569,40,827.884551
29.206403,40,849.948363
2.017268,3,851.6224
29.530702,40,873.492648
30.760959,40,895.878713
7.893393,10,901.556226
13.207223,15,910.122291
3.030945,4,912.377576
8.008313,10,917.821612
31.334921,40,940.008057
1.157363,2,941.115743
7.327629,9,946.037562
26.072147,28,961.300958
31.949397,40,989.67172
30.971124,40,1011.857314
29.432757,40,1033.455184
13.850526,15,1041.226428
14.278714,16,1048.619017
30.165618,40,1070.422965
27.100341,40,1092.215336
29.827805,40,1113.790392
4.935482,6,1117.047462
19.797462,26,1131.220447
31.895751,40,1152.995035
33.00528,40,1174.923973
29.120947,40,1196.716036
29.460883,40,1218.924779
29.45637,40,1240.624379
28.145412,40,1262.708619
30.142699,40,1284.937498
28.698674,40,1307.096919
31.970684,40,1328.37894
26.698398,40,1350.220305
