#{"t_start": 1767570884.1927876, "env_id": "highway-v0"}
r,l,t
1.194848,2,1.959731
15.615182,18,10.094323
31.352221,40,28.365284
31.109755,40,46.185343
30.139713,40,63.973937
30.945098,40,81.74687
28.561255,40,99.431571
8.105589,10,103.821575
12.660925,14,110.165941
28.850634,40,128.088196
8.536622,10,132.609071
12.370315,14,138.942479
28.296721,40,156.801876
11.004516,14,163.044245
4.568651,7,166.202929
12.311772,16,173.533712
3.244444,4,175.315315
10.201395,14,181.580447
11.355851,14,188.016015
27.625834,40,206.06819
4.333333,5,208.319622
10.521496,12,213.727922
9.257803,12,219.268171
5.938188,7,222.616495
20.021642,24,233.638779
9.846033,14,240.027463
2.925449,4,241.85321
28.602246,40,260.331217
14.849622,17,267.885598
30.49306,40,285.86102
29.01152,40,303.962629
26.934212,40,321.912715
6.761546,9,325.928558
12.215506,14,332.162365
31.275981,40,350.09599
32.025846,37,366.961878
12.881506,16,374.298365
32.455248,40,392.374895
30.569871,40,410.456173
2.786217,4,412.301221
28.245722,40,430.330104
13.9168,16,437.662111
28.6532,40,455.58509
13.706789,17,463.314187
31.215672,40,481.29026
1.22403,2,482.20168
30.336663,40,500.319686
29.422946,40,518.367204
30.035138,40,536.786612
2.846296,4,538.935858
29.246198,34,554.349555
29.333333,40,572.876917
1.964887,3,574.330545
10.04377,12,579.670161
30.681134,37,597.413777
30.105845,40,616.268804
19.288939,24,627.260394
6.128065,7,630.472822
1.802336,3,631.840055
32.50393,40,649.887853
14.940577,20,659.324339
11.207719,12,665.365576
29.455644,40,683.889955
29.851341,40,702.246737
31.535595,40,720.55603
27.764123,36,737.088321
9.942239,12,742.569183
19.807761,26,754.72352
30.840475,40,773.501876
11.259372,13,779.484659
17.943155,21,790.486073
8.860567,10,796.009142
29.333333,40,818.895008
27.649026,40,841.319709
7.541682,9,846.149117
29.571465,40,867.9282
17.299215,22,880.380647
29.333333,40,902.76878
6.206034,9,907.864125
13.163053,17,917.309371
28.051333,40,939.464596
31.200559,40,961.324033
18.790701,20,978.315941
28.196813,40,1000.798576
31.449847,40,1022.673743
28.984202,40,1043.627491
29.802015,40,1064.341838
6.984708,8,1068.734745
29.637454,40,1090.577842
3.805201,5,1093.352778
29.61668,40,1114.916106
29.32228,40,1136.621168
29.068212,40,1158.489573
11.719661,13,1165.527627
29.580022,40,1187.467604
14.97869,20,1198.439502
3.127064,4,1200.676304
30.647878,40,1222.752824
26.847822,40,1244.502504
31.368907,40,1266.681767
6.564905,8,1271.106494
31.440937,40,1293.244779
13.101176,15,1301.605806
29.752222,40,1323.13079
1.911064,3,1324.726871
31.859482,40,1346.450259
29.848509,40,1368.33851
32.366715,40,1389.848175
28.726635,40,1411.575805
29.075182,40,1431.616135
3.512303,5,1433.862578
10.710978,16,1441.025897
28.382033,31,1455.46704
14.623644,16,1462.77049
20.101103,23,1473.408149
1.8,3,1474.908786
6.95795,9,1479.192274
27.451111,40,1498.332843
2.872601,4,1500.298875
28.856174,40,1519.827935
25.497393,40,1543.039955
31.085631,40,1565.957099
20.697174,23,1579.185378
25.21444,28,1595.214507
4.77862,6,1598.501361
29.04826,40,1620.692806
3.04182,4,1622.930104
5.676445,7,1626.778661
29.789952,40,1648.951923
31.174471,40,1671.089383
3.843928,5,1673.923214
28.381806,40,1696.643591
28.444444,40,1718.811197
6.650241,8,1723.328034
28.70947,40,1745.344059
8.401212,11,1751.416917
28.54405,40,1773.459732
29.900094,40,1795.431381
28.66198,40,1817.187517
29.947273,40,1839.430886
26.102905,40,1861.784281
27.597488,40,1884.181064
26.666667,40,1906.478965
31.134407,40,1928.785868
31.282471,40,1950.771481
27.996851,40,1972.844764
4.720035,6,1976.195422
19.94104,23,1989.343399
3.87733,5,1992.204279
32.280982,40,2014.377791
10.000042,13,2021.518655
32.317831,40,2043.577668
5.648346,7,2047.478431
28.044139,40,2069.470073
29.333333,40,2097.282511
30.354894,40,2119.147699
3.680185,5,2121.890754
31.311805,40,2143.984802
13.749802,17,2153.679061
3.954827,5,2156.514753
28.365458,40,2178.906642
27.779932,40,2200.804062
28.754523,40,2222.258718
30.574186,40,2244.390043
2.152215,3,2246.042035
29.617186,40,2267.074546
27.800757,40,2285.612473
31.010287,40,2304.583893
30.444565,40,2323.531875
28.918521,40,2342.48277
2.066667,3,2343.945788
1.980259,3,2345.382962
28.328137,40,2365.516203
31.173412,39,2383.643346
27.555556,40,2402.58304
16.22778,19,2413.28159
3.125874,5,2416.280768
27.611991,40,2438.910785
28.654482,40,2461.274867
31.40029,40,2483.614229
10.347283,14,2491.332767
26.813121,40,2514.004906
15.885063,20,2525.079037
27.284743,40,2547.29794
29.856585,40,2569.512522
27.985314,40,2591.46821
29.476312,40,2613.456791
29.451293,40,2635.729275
30.081254,40,2657.973128
31.666276,40,2680.060273
28.068018,40,2702.459594
31.448227,40,2724.552181
30.576392,40,2746.382658
30.709734,40,2768.548677
30.359891,40,2790.921019
28.998806,40,2812.805568
30.984448,40,2834.495908
27.718996,40,2856.283546
28.276109,40,2878.074326
31.382638,40,2899.831374
30.310278,37,2920.616861
27.71067,40,2942.946862
28.764711,40,2965.446209
32.109917,40,2988.115623
32.027635,40,3010.848506
28.892002,40,3032.818253
25.121003,31,3050.006494
27.726034,40,3071.921045
30.242395,40,3094.064341
31.511473,40,3116.297067
19.779048,27,3131.050736
13.837687,18,3141.109149
27.9826,40,3163.747063
27.312067,40,3183.921904
28.85943,40,3206.548872
7.916526,9,3210.670738
30.388722,40,3229.385807
31.621565,40,3247.775377
30.821422,40,3267.159628
27.711722,40,3285.709492
28.505847,40,3304.694023
28.787075,40,3325.455201
30.152239,40,3347.484365
31.254114,40,3369.505849
1.945587,3,3371.147371
29.735051,40,3393.373755
32.49034,40,3415.177057
32.520034,40,3437.042437
29.688013,40,3458.770868
27.870999,40,3480.765249
30.586051,40,3502.270849
1.83446,3,3503.909877
28.605504,40,3525.486581
30.593183,40,3547.62284
29.780492,40,3569.395512
2.808752,4,3571.551225
31.493131,40,3592.721946
27.690332,40,3614.416473
30.387406,40,3636.242111
30.522213,40,3657.980293
27.100813,40,3679.153851
27.704065,40,3700.652514
27.686501,40,3722.198904
29.276998,40,3744.348191
29.971736,40,3766.068373
29.638956,40,3787.734112
7.611786,9,3792.54908
28.845766,40,3814.258891
2.106653,4,3816.421804
4.024693,5,3819.174608
30.754276,40,3841.011833
31.265402,40,3862.662484
31.040929,40,3884.171381
30.611576,40,3906.153929
27.440639,40,3927.952402
28.111561,40,3947.27524
29.610516,40,3965.473782
29.859678,40,3984.351937
29.804835,40,4002.916095
29.271651,40,4021.244655
32.909598,40,4040.240448
28.156746,40,4062.505592
26.874099,40,4084.128666
29.895664,40,4105.8759
30.491997,40,4127.40911
33.069725,40,4149.255466
28.495585,40,4170.803793
2.122656,3,4172.461566
29.30612,40,4193.928713
30.92142,40,4215.22714
31.839884,40,4236.601323
28.853265,40,4258.13009
29.26078,40,4284.998678
30.309199,40,4306.319426
30.458482,40,4328.048905
30.144761,38,4348.446343
31.231429,40,4369.665245
26.846264,40,4390.778916
28.561785,40,4412.582088
29.022549,40,4434.017918
30.517285,40,4455.65391
33.106081,40,4476.673117
29.705086,40,4498.618198
28.276676,40,4520.298417
30.750121,40,4541.792605
1.708328,3,4543.451996
1.979596,3,4545.103486
29.34633,40,4566.683559
30.541776,40,4588.193576
30.252497,40,4609.598305
30.359054,40,4631.461981
31.129972,40,4653.182263
28.615251,40,4674.404815
27.685545,40,4695.812443
27.803226,40,4717.102481
29.754236,40,4738.387339
33.221145,40,4759.617322
28.655711,40,4778.228006
29.896257,40,4796.582576
30.322413,40,4815.228307
32.912331,40,4833.299287
30.610122,40,4851.729954
32.664674,40,4872.206206
29.817957,40,4895.338502
28.907938,40,4917.64888
27.951909,40,4939.512212
31.70886,40,4962.150043
31.680373,40,4984.488786
27.31319,40,5006.738312
31.473187,40,5028.314652
16.832175,21,5039.884285
30.409093,40,5062.387159
30.374234,40,5084.329808
29.615453,40,5105.976665
30.97856,40,5127.678559
28.930051,40,5149.58775
28.315631,40,5172.288691
30.465602,40,5194.542541
32.853397,40,5216.132664
28.801691,40,5237.407075
29.570066,40,5258.687435
27.768246,40,5279.996103
29.265434,40,5302.135567
30.839644,40,5324.012676
28.109449,40,5346.421375
29.926271,40,5368.425536
30.433819,40,5396.229689
29.274558,40,5418.033231
30.349327,40,5440.101342
28.636789,40,5462.346298
29.682744,40,5484.008978
30.593005,40,5505.684644
27.360304,40,5527.169022
30.484997,40,5548.686309
31.893416,40,5570.136688
30.812199,40,5591.752232
30.48324,40,5613.546363
29.988841,40,5635.141586
29.44228,40,5656.821998
30.208406,40,5678.304712
30.150812,40,5699.73979
31.87135,40,5722.092989
30.382778,40,5743.712155
30.855272,40,5765.399309
31.477051,40,5787.165583
29.162872,40,5808.937763
30.074863,40,5827.489882
32.915962,40,5846.05988
27.254473,40,5865.214184
30.323117,40,5885.197686
32.089164,40,5903.603703
30.215525,40,5921.994977
28.749383,40,5943.229167
