#{"t_start": 1768081908.198802, "env_id": "highway-v0"}
r,l,t
8.157302,10,6.281237
6.7808,8,10.110774
5.92807,7,13.423572
30.450757,40,32.4836
30.434847,40,51.576752
33.852361,40,70.523602
8.852931,10,75.292862
28.157284,40,94.200815
26.759696,40,113.133193
6.508024,8,116.90288
31.618877,40,136.051088
31.6623,39,154.744686
5.919398,7,158.034235
17.670619,21,168.18888
3.827181,5,170.587443
4.605149,6,173.442096
32.652975,40,192.464556
20.188082,27,205.446251
35.709861,40,224.41811
25.965839,30,238.674803
29.619223,40,257.7517
6.437312,8,261.536659
6.374897,8,265.343373
30.040324,40,284.460683
2.8445,4,286.366246
4.426843,6,289.222081
1.262264,2,290.167826
26.755069,40,309.255348
27.878655,40,328.40211
10.255265,12,334.231697
24.259332,33,350.05209
7.974259,11,355.268873
27.914691,40,374.453017
1.992229,3,375.866638
5.489735,8,379.643428
9.213652,13,385.800285
4.077885,5,388.20164
7.298738,9,392.487433
31.42049,40,411.466162
10.606721,14,418.098542
26.961412,40,437.10938
7.703731,9,441.366179
3.631529,5,443.732776
11.860406,13,449.974811
29.869168,40,468.910098
1.228299,2,469.905009
7.416033,9,474.210297
12.331481,14,480.885954
28.674467,40,499.816614
24.455315,30,513.999985
17.152512,21,523.96146
29.513137,40,542.966744
9.230515,12,548.689432
10.542316,12,554.48397
30.56244,40,573.612426
16.233755,19,582.634176
32.330828,40,601.59723
17.303297,24,613.054639
19.238314,40,631.960505
4.333646,6,634.822659
5.752513,7,638.175795
9.760193,12,643.84814
9.909137,12,649.547749
26.104318,33,665.19272
28.627658,40,684.326314
18.263488,23,695.291752
0.981624,2,696.258656
12.200407,14,703.004706
4.33472,6,705.856457
12.407127,16,713.383137
29.935555,40,732.482435
36.53058,40,751.506445
27.706727,40,770.801081
8.141056,10,775.648092
24.504193,32,790.893318
30.373407,39,809.443375
29.716643,40,828.563864
31.035541,40,847.455707
5.704853,7,850.901302
8.381632,10,855.595514
7.918964,11,860.746309
30.158728,40,879.786592
2.0,3,881.221593
28.444444,40,900.212427
14.231477,18,908.810536
5.005806,7,912.182158
26.823108,40,931.340141
17.001845,22,941.802164
29.465598,40,961.041699
17.89624,20,970.535206
4.085225,5,972.940897
3.955556,5,975.257048
31.547973,40,1001.368268
29.747141,40,1020.383557
18.838988,25,1032.213666
31.088154,40,1051.076849
8.618221,10,1055.898253
27.484259,40,1075.027806
32.620006,40,1094.017862
32.656498,40,1113.018153
29.376167,40,1132.132462
31.799875,40,1151.298096
31.310891,40,1170.430829
3.725968,5,1172.78896
5.985483,7,1176.121453
30.487557,40,1195.252033
26.935664,40,1214.331538
10.507983,12,1220.141238
11.78932,15,1227.317226
27.651895,40,1246.495102
32.210964,38,1264.716322
33.451966,40,1283.852187
17.497376,21,1293.900951
31.06203,40,1312.821896
27.842093,40,1331.938837
1.87111,3,1333.408312
31.148731,40,1352.517003
4.776491,6,1355.39318
1.773678,3,1356.825415
13.662015,16,1364.475057
2.828775,4,1366.480679
4.222222,5,1368.867759
29.64656,40,1387.835719
29.094792,40,1406.963057
28.670017,40,1426.012064
29.936072,40,1445.047524
29.711683,40,1463.99249
29.99225,40,1482.964763
29.912153,40,1502.019542
7.294096,10,1506.764485
6.525595,8,1510.618396
6.168237,8,1514.415641
28.361259,40,1533.48585
29.551404,40,1552.613203
31.043854,40,1571.665889
7.115562,9,1575.941674
5.269319,6,1578.819395
8.273112,11,1583.99131
29.171324,40,1602.93715
26.257847,34,1619.083774
2.266667,3,1620.566094
28.230044,40,1639.621353
0.935275,2,1640.552297
31.740451,40,1659.5634
3.796782,5,1661.965325
31.512451,40,1680.985697
4.682276,6,1683.843829
29.710321,40,1702.825703
1.16739,2,1703.811206
31.763396,40,1723.008226
27.506628,40,1741.919859
4.902987,7,1745.268113
